"player_id","FirstName","Surname","PositionsList","Team","Cost","TotalPoints"
"Calvert-Lewin_Dominic_FWD","Dominic","Calvert-Lewin","FWD","EVE",5400000,92
"Camarasa_Victor_MID","Victor","Camarasa","MID","CAR",4400000,106
"Capoue_Etienne_MID","Etienne","Capoue","MID","WAT",4800000,79
"Cathcart_Craig_DEF","Craig","Cathcart","DEF","WAT",4500000,93
"Chambers_Calum_DEF","Calum","Chambers","DEF","FUL",4200000,60
"Chilwell_Benjamin_DEF","Benjamin","Chilwell","DEF","LEI",5e+06,118
"Christie_Cyrus_DEF","Cyrus","Christie","DEF","FUL",4200000,42
"Coady_Conor_DEF","Conor","Coady","DEF","WOL",4500000,94
"Coleman_Seamus_DEF","Seamus","Coleman","DEF","EVE",5200000,125
"Cork_Jack_MID","Jack","Cork","MID","BUR",4600000,87
"David Luiz_NAMELESS_DEF","NAMELESS","David Luiz","DEF","CHE",5800000,164
"David Silva_NAMELESS_MID","NAMELESS","David Silva","MID","MCI",8500000,143
"Davies_Ben_DEF_TOT","Ben","Davies","DEF","TOT",5600000,66
"Deeney_Troy_FWD","Troy","Deeney","FWD","WAT",5800000,116
"Deulofeu_Gerard_MID","Gerard","Deulofeu","MID","WAT",5700000,133
"Diame_Mohamed_MID","Mohamed","Diame","MID","NEW",4800000,56
"Digne_Lucas_DEF","Lucas","Digne","DEF","EVE",5400000,158
"Diop_Issa_DEF","Issa","Diop","DEF","WHU",4200000,87
"Doherty_Matt_DEF","Matt","Doherty","DEF","WOL",5300000,144
"Doucoure_Abdoulaye_MID","Abdoulaye","Doucoure","MID","WAT",5800000,124
"Duffy_Shane_DEF","Shane","Duffy","DEF","BHA",4700000,115
"Dummett_Paul_DEF","Paul","Dummett","DEF","NEW",4400000,67
"Dunk_Lewis_DEF","Lewis","Dunk","DEF","BHA",4400000,91
"Durm_Erik_DEF","Erik","Durm","DEF","HUD",4400000,49
"Ecuele Manga_Bruno_DEF","Bruno","Ecuele Manga","DEF","CAR",4400000,97
"Eriksen_Christian_MID","Christian","Eriksen","MID","TOT",9200000,161
"Evans_Jonny_DEF","Jonny","Evans","DEF","LEI",4800000,77
"Fabinho_NAMELESS_MID","NAMELESS","Fabinho","MID","LIV",5500000,65
"Felipe Anderson_NAMELESS_MID","NAMELESS","Felipe Anderson","MID","WHU",6800000,155
"Fernandinho_NAMELESS_MID","NAMELESS","Fernandinho","MID","MCI",5300000,79
"Firmino_Roberto_FWD","Roberto","Firmino","FWD","LIV",9300000,160
"Fraser_Ryan_MID","Ryan","Fraser","MID","BOU",6400000,181
"Gosling_Dan_MID","Dan","Gosling","MID","BOU",4700000,54
"Gray_Demarai_MID","Demarai","Gray","MID","LEI",5400000,84
"Gro?_Pascal_MID","Pascal","Gro?","MID","BHA",6700000,80
"Gudmundsson_Johann Berg_MID","Johann Berg","Gudmundsson","MID","BUR",5500000,92
"Guendouzi_Matteo_MID","Matteo","Guendouzi","MID","ARS",4400000,47
"Gueye_Idrissa_MID","Idrissa","Gueye","MID","EVE",4700000,78
"Gundogan_Ilkay_MID","Ilkay","Gundogan","MID","MCI",5400000,113
"Gunnarsson_Aron_MID","Aron","Gunnarsson","MID","CAR",4400000,65
"Hadergjonaj_Florent_DEF","Florent","Hadergjonaj","DEF","HUD",4300000,50
"Hayden_Isaac_MID","Isaac","Hayden","MID","NEW",4300000,69
"Hazard_Eden_MID","Eden","Hazard","MID","CHE",1.1e+07,238
"Henderson_Jordan_MID","Jordan","Henderson","MID","LIV",5300000,76
"Hendrick_Jeff_MID","Jeff","Hendrick","MID","BUR",5200000,73
"Hogg_Jonathan_MID","Jonathan","Hogg","MID","HUD",4400000,54
"Hoilett_David Junior_MID","David Junior","Hoilett","MID","CAR",5e+06,82
"H?jbjerg_Pierre-Emile_MID","Pierre-Emile","H?jbjerg","MID","SOU",4400000,90
"Holebas_Jose_DEF","Jose","Holebas","DEF","WAT",4800000,93
"Hughes_Will_MID","Will","Hughes","MID","WAT",4900000,87
"Iwobi_Alex_MID","Alex","Iwobi","MID","ARS",5400000,99
"Jimenez_Raul_FWD","Raul","Jimenez","FWD","WOL",6900000,181
"Jonny_NAMELESS_DEF","NAMELESS","Jonny","DEF","WOL",4300000,103
"Jorginho_NAMELESS_MID","NAMELESS","Jorginho","MID","CHE",4600000,96
"Jota_Diogo_MID","Diogo","Jota","MID","WOL",6300000,139
"Kane_Harry_FWD","Harry","Kane","FWD","TOT",12600000,160
"Kante_N'Golo_MID","N'Golo","Kante","MID","CHE",4900000,116
"Keane_Michael_DEF","Michael","Keane","DEF","EVE",4800000,129
"Kiko Femenia_NAMELESS_DEF","NAMELESS","Kiko Femenia","DEF","WAT",4200000,66
"King_Joshua_FWD","Joshua","King","FWD","BOU",6400000,141
"Knockaert_Anthony_MID","Anthony","Knockaert","MID","BHA",5200000,74
"Kolasinac_Sead_DEF","Sead","Kolasinac","DEF","ARS",4900000,81
"Kongolo_Terence_DEF","Terence","Kongolo","DEF","HUD",4300000,60
"Kouyate_Cheikhou_MID","Cheikhou","Kouyate","MID","CRY",4700000,67
"Kovacic_Mateo_MID","Mateo","Kovacic","MID","CHE",5700000,64
"Lacazette_Alexandre_FWD","Alexandre","Lacazette","FWD","ARS",9400000,166
"Laporte_Aymeric_DEF","Aymeric","Laporte","DEF","MCI",6300000,177
"Lascelles_Jamaal_DEF","Jamaal","Lascelles","DEF","NEW",4700000,95
"Le Marchand_Maxime_DEF","Maxime","Le Marchand","DEF","FUL",4200000,38
"Lerma_Jefferson_MID","Jefferson","Lerma","MID","BOU",4500000,75
"Lindelof_Victor_DEF","Victor","Lindelof","DEF","MUN",4900000,85
"Lowe_Chris_DEF","Chris","Lowe","DEF","HUD",4400000,49
"Lowton_Matthew_DEF","Matthew","Lowton","DEF","BUR",4600000,34
"Lucas Moura_NAMELESS_MID","NAMELESS","Lucas Moura","MID","TOT",6900000,131
"Lukaku_Romelu_FWD","Romelu","Lukaku","FWD","MUN",10700000,115
"Maddison_James_MID","James","Maddison","MID","LEI",6600000,137
"Maguire_Harry_DEF","Harry","Maguire","DEF","LEI",5400000,92
